Year,Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
2024,39,Alabama Huntsville (Gulf South),40,18,0,0.69,53,1502,477,0.318,400.2,166,137,2.39,1229,377,52
2024,40,Seton Hill (PSAC),37,17,0,0.685,53,1461,463,0.317,300,134,103,2.4,910,472,45
2024,40,Washburn (Mid-America Intercollegiate),37,17,0,0.685,53,1461,463,0.317,300,134,103,2.4,910,472,45
2024,42,Gannon (PSAC),32,15,0,0.681,51,1423,450,0.316,344,172,121,2.46,1050,412,48
2024,42,Lane (SIAC),32,15,0,0.681,51,1423,450,0.316,344,172,121,2.46,1050,412,48
2024,44,Pace (NE10),33,16,0,0.673,50,1326,416,0.314,283.2,136,101,2.49,1140,456,53
2024,45,Angelo St. (Lone Star),37,18,0,0.673,53,1360,424,0.312,381.1,178,136,2.5,1087,445,51
2024,45,Grand Valley St. (GLIAC),37,18,0,0.673,53,1360,424,0.312,381.1,178,136,2.5,1087,445,51
2024,47,Saint Leo (Sunshine State),38,19,0,0.667,51,1378,429,0.311,360.2,163,134,2.6,1277,480,59
2024,48,Fort Valley St. (SIAC),31,16,0,0.66,57,1497,466,0.311,188,97,71,2.64,962,284,42
2024,49,Franklin Pierce (NE10),27,14,0,0.659,57,1540,479,0.311,328.1,163,124,2.64,1058,360,48
2024,50,Barry (Sunshine State),34,18,0,0.654,54,1463,455,0.311,396.2,178,150,2.65,840,248,37
2024,50,Harding (GAC),34,18,0,0.654,54,1463,455,0.311,396.2,178,150,2.65,840,248,37
2024,52,Cal St. Dom. Hills (CCAA),39,21,0,0.65,49,1431,444,0.31,375,188,143,2.67,923,414,46
2024,53,Lander (Peach Belt),33,18,0,0.647,48,1316,408,0.31,380.1,181,147,2.71,1102,407,52
2024,54,North Greenville (Conference Carolinas),36,20,0,0.643,51,1342,416,0.31,407,209,158,2.72,1124,471,55
2024,55,Anderson (SC) (SAC),34,19,0,0.642,63,1725,534,0.31,373.2,182,146,2.74,865,288,40
2024,55,Southern Ark. (GAC),34,19,0,0.642,63,1725,534,0.31,373.2,182,146,2.74,865,288,40
2024,57,Carson-Newman (SAC),32,18,0,0.64,62,1625,501,0.308,303.2,174,120,2.77,1099,320,50
2024,58,Northwood (G-MAC),35,20,0,0.636,49,1334,410,0.307,362.1,180,146,2.82,995,280,45
2024,59,Embry-Riddle (FL) (Sunshine State),33,19,0,0.635,59,1563,480,0.307,282.2,151,115,2.85,1008,408,50
2024,59,MSU Moorhead (NSIC),33,19,0,0.635,59,1563,480,0.307,282.2,151,115,2.85,1008,408,50
2024,61,Shippensburg (PSAC),36,21,0,0.632,45,1218,373,0.306,354.1,190,145,2.86,1006,405,50
2024,62,Findlay (G-MAC),34,20,0,0.63,52,1409,431,0.306,378,188,156,2.89,635,239,31
2024,62,West Ala. (Gulf South),34,20,0,0.63,52,1409,431,0.306,378,188,156,2.89,635,239,31
2024,64,Cal St. San Marcos (CCAA),37,22,0,0.627,46,1231,376,0.305,335.1,179,139,2.9,1048,492,55
2024,65,Sonoma St. (CCAA),30,18,0,0.625,54,1406,429,0.305,393,212,163,2.9,907,352,45
2024,66,Winona St. (NSIC),33,20,0,0.623,44,1168,356,0.305,312.2,175,130,2.91,1112,509,58
2024,67,McKendree (GLVC),36,22,0,0.621,43,1116,340,0.305,400,195,167,2.92,980,415,50
2024,67,West Chester (PSAC),36,22,0,0.621,43,1116,340,0.305,400,195,167,2.92,980,415,50
2024,69,Adelphi (NE10),34,21,0,0.618,42,1146,349,0.305,344.2,175,145,2.94,1193,444,59
2024,70,Saginaw Valley (GLIAC),35,22,0,0.614,52,1389,423,0.305,330.1,179,139,2.95,921,407,48
2024,71,Assumption (NE10),25,16,0,0.61,48,1296,393,0.303,350.2,179,148,2.95,973,407,50
2024,72,Emporia St. (Mid-America Intercollegiate),31,20,0,0.608,58,1627,492,0.302,354.2,193,150,2.96,1121,424,56
2024,72,Missouri Western (Mid-America Intercollegiate),31,20,0,0.608,58,1627,492,0.302,354.2,193,150,2.96,1121,424,56
2024,74,Hawaii Hilo (PacWest),26,17,0,0.605,54,1463,440,0.301,376.1,207,162,3.01,1132,369,55
2024,75,Albany St. (GA) (SIAC),29,19,0,0.604,41,1115,335,0.3,300.2,159,130,3.03,982,297,47
2024,76,Okla. Christian (Lone Star),35,23,0,0.603,53,1452,436,0.3,268,154,116,3.03,1095,318,52
2024,77,Mo. Southern St. (Mid-America Intercollegiate),33,22,0,0.6,43,1144,343,0.3,355,174,154,3.04,999,434,53
2024,77,Purdue Northwest (GLIAC),33,22,0,0.6,43,1144,343,0.3,355,174,154,3.04,999,434,53
2024,79,Kutztown (PSAC),37,25,0,0.597,44,1183,354,0.299,331.2,178,146,3.08,902,298,45
2024,80,Azusa Pacific (PacWest),31,21,0,0.596,54,1391,416,0.299,314.1,175,140,3.12,1095,439,58
2024,81,Columbus St. (Peach Belt),35,24,0,0.593,53,1318,394,0.299,390.2,211,174,3.12,1008,416,54
2024,81,Emmanuel (GA) (Conference Carolinas),35,24,0,0.593,53,1318,394,0.299,390.2,211,174,3.12,1008,416,54
2024,81,Flagler (Peach Belt),35,24,0,0.593,53,1318,394,0.299,390.2,211,174,3.12,1008,416,54
2024,81,Notre Dame (OH) (MEC),35,24,0,0.593,53,1318,394,0.299,390.2,211,174,3.12,1008,416,54
2024,85,Frostburg St. (MEC),29,20,0,0.592,55,1402,416,0.297,334,216,153,3.21,871,300,45
2024,86,St. Thomas Aquinas (ECC),34,24,0,0.586,59,1623,481,0.296,326.2,199,150,3.21,846,245,42
2024,87,CSUSB (CCAA),28,20,0,0.583,53,1405,416,0.296,365.1,208,169,3.24,1042,334,53
2024,88,Southern N.H. (NE10),25,18,0,0.581,55,1514,448,0.296,350,201,162,3.24,914,348,49
2024,89,Spring Hill (SIAC),29,21,0,0.58,62,1655,489,0.295,335.2,196,158,3.29,900,354,49
2024,90,Bloomsburg (PSAC),33,24,0,0.579,47,1222,361,0.295,354,216,167,3.3,1051,403,57
2024,91,Tex. A&M-Kingsville (Lone Star),30,22,0,0.577,50,1334,394,0.295,305,215,144,3.3,922,450,54
2024,91,Tusculum (SAC),30,22,0,0.577,50,1334,394,0.295,305,215,144,3.3,922,450,54
2024,91,Tuskegee (SIAC),30,22,0,0.577,50,1334,394,0.295,305,215,144,3.3,922,450,54
2024,94,Valdosta St. (Gulf South),31,23,0,0.574,50,1293,381,0.295,307.2,170,146,3.32,1063,422,59
2024,95,Molloy (ECC),32,24,0,0.571,46,1332,392,0.294,381.2,225,182,3.34,1063,316,55
2024,96,USC Aiken (Peach Belt),29,22,0,0.569,47,1186,349,0.294,344.2,214,165,3.35,984,420,56
2024,97,Limestone (SAC),25,19,0,0.568,45,1165,342,0.294,336,203,161,3.35,895,430,53
2024,97,Malone (G-MAC),25,19,0,0.568,45,1165,342,0.294,336,203,161,3.35,895,430,53
2024,99,Cameron (Lone Star),30,23,0,0.566,54,1475,432,0.293,324,199,156,3.37,1009,364,55
2024,100,Glenville St. (MEC),26,20,0,0.565,54,1357,397,0.293,348.1,215,168,3.38,951,347,52
2024,101,Davis & Elkins (MEC),31,24,0,0.564,55,1499,438,0.292,356.1,229,172,3.38,1039,378,57
2024,102,Regis (CO) (RMAC),33,26,0,0.559,58,1553,451,0.29,344.1,220,167,3.39,1090,351,58
2024,103,Minot St. (NSIC),24,19,0,0.558,57,1581,459,0.29,278.1,159,135,3.4,805,382,48
2024,104,Colo. Sch. of Mines (RMAC),29,23,0,0.558,53,1420,412,0.29,290.1,185,141,3.4,1173,360,62
2024,105,Drury (GLVC),30,24,0,0.556,55,1474,427,0.29,405,253,197,3.4,1141,416,63
2024,106,Arkansas Tech (GAC),26,21,0,0.553,49,1369,396,0.289,369.2,204,180,3.41,1221,376,65
2024,107,St. Mary's (TX) (Lone Star),32,26,0,0.552,47,1214,351,0.289,348.2,200,170,3.41,972,352,54
2024,108,Saint Martin's (Great Northwest),27,22,0,0.551,56,1560,451,0.289,373,241,182,3.42,965,306,52
2024,109,Union (TN) (Gulf South),28,23,0,0.549,57,1477,427,0.289,347,201,170,3.43,1231,553,73
2024,110,Cal St. East Bay (CCAA),29,24,0,0.547,53,1456,420,0.288,397.2,231,197,3.47,1182,527,70
2024,110,Tiffin (G-MAC),29,24,0,0.547,53,1456,420,0.288,397.2,231,197,3.47,1182,527,70
