Rank,Team,W,L,T,PCT,G,AB,H,BA,IP,R,ER,ERA,PO,A,E
88,UC-Colo. Springs (RMAC),33,24,0,0.579,59,1529,458,0.3,300.1,193,142,3.31,1155,484,64
89,Southern N.H. (NE10),26,19,0,0.578,64,1714,513,0.299,270.1,155,128,3.31,983,450,56
90,Bowie St. (CIAA),27,20,0,0.574,58,1554,465,0.299,318.1,178,151,3.32,909,319,48
91,Emporia St. (Mid-America Intercollegiate),31,23,0,0.574,43,1150,344,0.299,326.2,201,155,3.32,1042,480,60
91,Spring Hill (SIAC),31,23,0,0.574,43,1150,344,0.299,326.2,201,155,3.32,1042,480,60
93,Ferris St. (GLIAC),28,21,0,0.571,46,1288,385,0.299,304.2,192,146,3.35,910,407,52
94,UAH (Gulf South),29,22,0,0.569,57,1593,476,0.299,350.1,198,169,3.38,1127,289,56
94,Florida Tech (Sunshine State),29,22,0,0.569,57,1593,476,0.299,350.1,198,169,3.38,1127,289,56
96,Indiana (PA) (PSAC),26,20,0,0.565,55,1505,449,0.298,305.1,179,149,3.42,1107,377,59
97,Montevallo (Gulf South),31,24,0,0.564,55,1506,449,0.298,335,214,164,3.43,1172,598,71
97,Wayne St. (NE) (NSIC),31,24,0,0.564,55,1506,449,0.298,335,214,164,3.43,1172,598,71
99,Columbus St. (Peach Belt),32,25,0,0.561,50,1395,414,0.297,348.2,210,171,3.43,926,369,52
100,Cal Poly Humboldt (CCAA),28,22,0,0.56,54,1494,443,0.297,372.2,226,183,3.44,1042,422,59
101,Henderson St. (GAC),30,24,0,0.556,53,1431,424,0.296,380.2,225,187,3.44,1212,338,63
102,Cal St. Dom. Hills (CCAA),31,25,0,0.554,57,1489,441,0.296,385,236,190,3.45,1055,393,59
102,West Liberty (MEC),31,25,0,0.554,57,1489,441,0.296,385,236,190,3.45,1055,393,59
104,Bentley (NE10),26,21,0,0.553,43,1126,333,0.296,382,222,191,3.5,779,295,44
104,Bentley (NE10),26,21,0,0.553,43,1126,333,0.296,296,182,148,3.5,779,295,44
106,King (TN) (Conference Carolinas),28,23,0,0.549,50,1349,398,0.295,283.1,194,143,3.53,843,262,46
107,Cameron (Lone Star),29,24,0,0.547,53,1490,439,0.295,330.2,218,168,3.56,864,384,52
107,Wis.-Parkside (GLIAC),29,24,0,0.547,53,1490,439,0.295,330.2,218,168,3.56,864,384,52
109,Eastern N.M. (Lone Star),30,25,0,0.545,58,1529,450,0.294,252.1,172,129,3.58,912,377,54
109,Malone (G-MAC),24,20,0,0.545,58,1529,450,0.294,252.1,172,129,3.58,912,377,54
111,Barton (Conference Carolinas),27,23,0,0.54,52,1316,386,0.293,378,224,194,3.59,1151,487,69
112,Anderson (SC) (SAC),28,24,0,0.538,45,1262,369,0.292,354.2,225,183,3.61,1059,412,62
113,Shepherd (PSAC),28,24,1,0.538,50,1366,399,0.292,385.1,249,199,3.62,1071,351,60
114,Franklin Pierce (NE10),22,19,0,0.537,44,1110,324,0.292,344.1,224,179,3.64,916,292,51
